BRAND,FUEL,TURBO,NoDOORS,TYPE,TRACTION,ENGINEPOS,WEIGHT,NoCILINDERS,POTENCY,RPM,VALUE,YEAR,ORIGIN
alfa-romeo,gasoline,without,2,convertible,rwd,front,2548,4,111,5000,13495,1986,European
alfa-romeo,gasoline,without,2,convertible,rwd,front,2548,4,111,5000,16500,1985,European
alfa-romeo,gasoline,without,2,hatch,rwd,front,2823,6,154,5000,16500,1984,European
audi,gasoline,without,4,sedan,fwd,front,2337,4,102,5500,13950,1982,European
audi,gasoline,without,2,sedan,fwd,front,2507,5,110,5500,15250,1987,European
audi,gasoline,without,4,sedan,4x4,front,2824,5,115,5500,17450,1988,European
audi,gasoline,without,4,sedan,fwd,front,2844,5,110,5500,17710,1981,European
audi,gasoline,without,4,wagon,fwd,front,2954,5,110,5500,18920,1984,European
audi,gasoline,with,2,hatch,4x4,front,3053,5,160,5500,27843,1984,European
audi,gasoline,with,4,sedan,fwd,front,3086,5,140,5500,23875,1985,European
bmw,gasoline,without,2,sedan,rwd,front,2395,4,101,5800,16430,1989,European
bmw,gasoline,without,4,sedan,rwd,front,2395,4,101,5800,16925,1987,European
bmw,gasoline,without,2,sedan,rwd,front,2710,6,121,4250,20970,1984,European
bmw,gasoline,without,4,sedan,rwd,front,2765,6,121,4250,21105,1982,European
bmw,gasoline,without,4,sedan,rwd,front,3055,6,121,4250,24565,1990,European
bmw,gasoline,without,4,sedan,rwd,front,3230,6,182,5400,30760,1987,European
bmw,gasoline,without,2,sedan,rwd,front,3380,6,182,5400,41315,1986,European
bmw,gasoline,without,4,sedan,rwd,front,3505,6,182,5400,36880,1985,European
chevrolet,gasoline,without,2,hatch,fwd,front,1488,3,48,5100,5151,1984,European
chevrolet,gasoline,without,2,hatch,fwd,front,1874,4,70,5400,6295,1985,European
chevrolet,gasoline,without,4,sedan,fwd,front,1909,4,70,5400,6575,1982,European
dodge,gasoline,without,2,hatch,fwd,front,1876,4,68,5500,5572,1988,American
dodge,gasoline,without,4,hatch,fwd,front,1967,4,68,5500,6229,1981,American
dodge,gasoline,without,4,sedan,fwd,front,1989,4,68,5500,6692,1980,American
dodge,gasoline,without,4,sedan,fwd,front,1989,4,68,5500,7609,1982,American
dodge,gasoline,with,2,hatch,fwd,front,2128,4,102,5500,7957,1983,American
dodge,gasoline,with,4,sedan,fwd,front,2191,4,102,5500,8558,1984,American
dodge,gasoline,without,4,wagon,fwd,front,2535,4,88,5000,8921,1982,American
dodge,gasoline,with,2,hatch,fwd,front,2811,4,145,5000,12964,1986,American
honda,gasoline,without,2,hatch,fwd,front,1713,4,58,4800,6479,1988,Japanese
honda,gasoline,without,2,hatch,fwd,front,1819,4,76,6000,6855,1989,Japanese
honda,gasoline,without,2,hatch,fwd,front,1837,4,60,5500,5399,1983,Japanese
honda,gasoline,without,2,hatch,fwd,front,1940,4,76,6000,6529,1982,Japanese
honda,gasoline,without,2,hatch,fwd,front,1956,4,76,6000,7129,1990,Japanese
honda,gasoline,without,4,sedan,fwd,front,2010,4,76,6000,7295,1990,Japanese
honda,gasoline,without,4,wagon,fwd,front,2024,4,76,6000,7295,1987,Japanese
honda,gasoline,without,2,hatch,fwd,front,2236,4,86,5800,7895,1985,Japanese
honda,gasoline,without,2,hatch,fwd,front,2289,4,86,5800,9095,1980,Japanese
honda,gasoline,without,2,sedan,fwd,front,2293,4,100,5500,10345,1986,Japanese
honda,gasoline,without,4,sedan,fwd,front,2304,4,86,5800,8845,1980,Japanese
honda,gasoline,without,4,sedan,fwd,front,2372,4,86,5800,10295,1987,Japanese
honda,gasoline,without,4,sedan,fwd,front,2465,4,101,5800,12945,1980,Japanese
isuzu,gasoline,without,2,sedan,fwd,front,1874,4,70,5400,12460,1984,Japanese
isuzu,gasoline,without,4,sedan,fwd,front,1909,4,70,5400,13790,1988,Japanese
isuzu,gasoline,without,4,sedan,rwd,front,2337,4,78,4800,6785,1988,Japanese
isuzu,gasoline,without,2,hatch,rwd,front,2734,4,90,5000,11048,1985,Japanese
jaguar,gasoline,without,2,sedan,rwd,front,3950,12,262,5000,36000,1980,European
jaguar,gasoline,without,4,sedan,rwd,front,4066,6,176,4750,32250,1988,European
jaguar,gasoline,without,4,sedan,rwd,front,4066,6,176,4750,35550,1982,European
mazda,gasoline,without,2,hatch,fwd,front,1890,4,68,5000,5195,1984,Japanese
mazda,gasoline,without,2,hatch,fwd,front,1900,4,68,5000,6095,1984,Japanese
mazda,gasoline,without,2,hatch,fwd,front,1905,4,68,5000,6795,1982,Japanese
mazda,gasoline,without,4,sedan,fwd,front,1945,4,68,5000,6695,1985,Japanese
mazda,gasoline,without,4,sedan,fwd,front,1950,4,68,5000,7395,1982,Japanese
mazda,gasoline,without,2,hatch,rwd,front,2380,2,101,6000,10945,1983,Japanese
mazda,gasoline,without,2,hatch,rwd,front,2380,2,101,6000,11845,1989,Japanese
mazda,gasoline,without,2,hatch,fwd,front,2385,4,84,4800,8845,1985,Japanese
mazda,gasoline,without,2,hatch,fwd,front,2385,4,84,4800,10595,1981,Japanese
mazda,gasoline,without,2,hatch,rwd,front,2385,2,101,6000,13645,1982,Japanese
