DHC_SIGMA,DHC_MINPTS,DHC_THRESHOLD,fitness
10.333334,10,15.555555,93.66673384
10.333334,10,15.555555,93.66673384
10.333334,10,15.555555,93.66673384
10.333334,10,21.11111,97.66711751
10.333334,10,21.11111,97.66711751
10.333334,10,21.11111,97.66711751
10.333334,10,21.11111,97.66711751
10.333334,10,21.11111,97.66711751
10.333334,10,21.11111,97.66711751
10.333334,10,26.666666,98.12677082
10.333334,10,26.666666,98.12677082
10.333334,10,26.666666,98.12677082
10.333334,10,26.666666,98.12677082
10.333334,10,32.22222,99.15779753
10.333334,10,32.22222,99.15779753
10.333334,10,32.22222,99.15779753
10.333334,10,32.22222,99.15779753
10.333334,10,37.77778,99.9088001
10.333334,10,37.77778,99.9088001
10.333334,10,37.77778,99.9088001
10.333334,10,37.77778,99.9088001
10.333334,10,37.77778,99.9088001
10.333334,10,43.333332,99.91717931
10.333334,10,43.333332,99.91717931
10.333334,10,43.333332,99.91717931
10.333334,10,43.333332,99.91717931
10.333334,10,43.333332,99.91717931
10.333334,10,43.333332,99.91717931
10.333334,10,43.333332,99.91717931
10.333334,10,43.333332,99.91717931
10.333334,10,48.888885,99.90539204
10.333334,10,48.888885,99.90539204
10.333334,10,48.888885,99.90539204
10.333334,10,48.888885,99.90539204
10.333334,10,54.444443,99.90539204
10.333334,10,54.444443,99.90539204
10.333334,10,54.444443,99.90539204
10.333334,10,54.444443,99.90539204
10.333334,10,60,99.90539204
10.333334,10,60,99.90539204
10.333334,10,60,99.90539204
10.333334,10,60,99.90539204
10.333334,10,60,99.90539204
10.333334,10,60,99.90539204
10.333334,10,60,99.90539204
10.333334,10,60,99.90539204
10.333334,10,60,99.90539204
10.333334,10,60,99.90539204
10.333334,11.666666,15.555555,93.66673384
10.333334,11.666666,21.11111,97.66711751
10.333334,11.666666,21.11111,97.66711751
10.333334,11.666666,21.11111,97.66711751
10.333334,11.666666,21.11111,97.66711751
10.333334,11.666666,21.11111,97.66711751
10.333334,11.666666,21.11111,97.66711751
10.333334,11.666666,26.666666,98.12677082
10.333334,11.666666,26.666666,98.12677082
10.333334,11.666666,26.666666,98.12677082
10.333334,11.666666,32.22222,99.15779753
10.333334,11.666666,32.22222,99.15779753
10.333334,11.666666,37.77778,99.9088001
10.333334,11.666666,37.77778,99.9088001
10.333334,11.666666,37.77778,99.9088001
10.333334,11.666666,43.333332,99.91717931
10.333334,11.666666,43.333332,99.91717931
10.333334,11.666666,43.333332,99.91717931
10.333334,11.666666,48.888885,99.90539204
10.333334,11.666666,48.888885,99.90539204
10.333334,11.666666,48.888885,99.90539204
10.333334,11.666666,48.888885,99.90539204
10.333334,11.666666,54.444443,99.90539204
10.333334,11.666666,54.444443,99.90539204
10.333334,11.666666,54.444443,99.90539204
10.333334,11.666666,60,99.90539204
10.333334,11.666666,60,99.90539204
10.333334,11.666666,60,99.90539204
10.333334,11.666666,60,99.90539204
10.333334,13.333333,15.555555,93.66673384
10.333334,13.333333,15.555555,93.66673384
10.333334,13.333333,21.11111,97.66711751
10.333334,13.333333,21.11111,97.66711751
10.333334,13.333333,21.11111,97.66711751
10.333334,13.333333,21.11111,97.66711751
10.333334,13.333333,21.11111,97.66711751
10.333334,13.333333,26.666666,98.12677082
10.333334,13.333333,26.666666,98.12677082
10.333334,13.333333,26.666666,98.12677082
10.333334,13.333333,32.22222,99.15779753
10.333334,13.333333,32.22222,99.15779753
10.333334,13.333333,37.77778,99.9088001
10.333334,13.333333,37.77778,99.9088001
10.333334,13.333333,37.77778,99.9088001
10.333334,13.333333,37.77778,99.9088001
10.333334,13.333333,43.333332,99.91717931
10.333334,13.333333,43.333332,99.91717931
10.333334,13.333333,43.333332,99.91717931
10.333334,13.333333,43.333332,99.91717931
10.333334,13.333333,43.333332,99.91717931
10.333334,13.333333,43.333332,99.91717931
10.333334,13.333333,48.888885,99.90539204
10.333334,13.333333,48.888885,99.90539204
10.333334,13.333333,48.888885,99.90539204
10.333334,13.333333,54.444443,99.90539204
10.333334,13.333333,54.444443,99.90539204
10.333334,13.333333,54.444443,99.90539204
10.333334,13.333333,60,99.90539204
10.333334,13.333333,60,99.90539204
10.333334,13.333333,60,99.90539204
10.333334,13.333333,60,99.90539204
10.333334,13.333333,60,99.90539204
10.333334,13.333333,60,99.90539204
10.333334,13.333333,60,99.90539204
10.333334,13.333333,60,99.90539204
10.333334,13.333333,60,99.90539204
10.333334,13.333333,60,99.90539204
10.333334,13.333333,60,99.90539204
10.333334,15,15.555555,93.66673384
10.333334,15,15.555555,93.66673384
10.333334,15,15.555555,93.66673384
10.333334,15,21.11111,97.66711751
10.333334,15,21.11111,97.66711751
10.333334,15,26.666666,98.12677082
10.333334,15,26.666666,98.12677082
10.333334,15,26.666666,98.12677082
10.333334,15,26.666666,98.12677082
10.333334,15,26.666666,98.12677082
10.333334,15,32.22222,99.15779753
10.333334,15,32.22222,99.15779753
10.333334,15,32.22222,99.15779753
10.333334,15,32.22222,99.15779753
10.333334,15,37.77778,99.9088001
10.333334,15,37.77778,99.9088001
10.333334,15,37.77778,99.9088001
10.333334,15,37.77778,99.9088001
10.333334,15,37.77778,99.9088001
10.333334,15,43.333332,99.91717931
10.333334,15,43.333332,99.91717931
10.333334,15,43.333332,99.91717931
10.333334,15,43.333332,99.91717931
10.333334,15,48.888885,99.90539204
10.333334,15,48.888885,99.90539204
10.333334,15,54.444443,99.90539204
10.333334,15,54.444443,99.90539204
10.333334,15,60,99.90539204
10.333334,15,60,99.90539204
10.333334,15,60,99.90539204
10.333334,15,60,99.90539204
10.333334,15,60,99.90539204
10.333334,15,60,99.90539204
10.333334,16.666666,15.555555,93.66673384
10.333334,16.666666,21.11111,97.66711751
10.333334,16.666666,21.11111,97.66711751
10.333334,16.666666,21.11111,97.66711751
10.333334,16.666666,21.11111,97.66711751
10.333334,16.666666,21.11111,97.66711751
10.333334,16.666666,26.666666,98.12677082
10.333334,16.666666,32.22222,99.15779753
10.333334,16.666666,32.22222,99.15779753
10.333334,16.666666,32.22222,99.15779753
10.333334,16.666666,37.77778,99.9088001
10.333334,16.666666,43.333332,99.91717931
10.333334,16.666666,48.888885,99.90539204
10.333334,16.666666,48.888885,99.90539204
10.333334,16.666666,54.444443,99.90539204
10.333334,16.666666,54.444443,99.90539204
10.333334,16.666666,60,99.90539204
10.333334,16.666666,60,99.90539204
10.333334,16.666666,60,99.90539204
10.333334,16.666666,60,99.90539204
10.333334,18.333332,15.555555,93.66673384
10.333334,18.333332,21.11111,97.66711751
10.333334,18.333332,21.11111,97.66711751
10.333334,18.333332,26.666666,98.12677082
10.333334,18.333332,26.666666,98.12677082
10.333334,18.333332,32.22222,99.15779753
10.333334,18.333332,32.22222,99.15779753
10.333334,18.333332,32.22222,99.15779753
10.333334,18.333332,32.22222,99.15779753
10.333334,18.333332,37.77778,99.9088001
10.333334,18.333332,37.77778,99.9088001
10.333334,18.333332,43.333332,99.91717931
10.333334,18.333332,43.333332,99.91717931
10.333334,18.333332,48.888885,99.90539204
10.333334,18.333332,48.888885,99.90539204
10.333334,18.333332,54.444443,99.90539204
10.333334,18.333332,54.444443,99.90539204
10.333334,18.333332,54.444443,99.90539204
10.333334,18.333332,54.444443,99.90539204
10.333334,18.333332,60,99.90539204
10.333334,18.333332,60,99.90539204
10.333334,18.333332,60,99.90539204
10.333334,20,15.555555,93.66673384
10.333334,20,15.555555,93.66673384
10.333334,20,15.555555,93.66673384
10.333334,20,15.555555,93.66673384
10.333334,20,15.555555,93.66673384
10.333334,20,15.555555,93.66673384
10.333334,20,15.555555,93.66673384
10.333334,20,21.11111,97.66711751
10.333334,20,21.11111,97.66711751
10.333334,20,21.11111,97.66711751
10.333334,20,21.11111,97.66711751
10.333334,20,26.666666,98.12677082
10.333334,20,26.666666,98.12677082
10.333334,20,26.666666,98.12677082
10.333334,20,26.666666,98.12677082
10.333334,20,26.666666,98.12677082
10.333334,20,26.666666,98.12677082
10.333334,20,26.666666,98.12677082
10.333334,20,32.22222,99.15779753
10.333334,20,32.22222,99.15779753
10.333334,20,32.22222,99.15779753
10.333334,20,32.22222,99.15779753
10.333334,20,32.22222,99.15779753
10.333334,20,32.22222,99.15779753
10.333334,20,32.22222,99.15779753
10.333334,20,37.77778,99.9088001
10.333334,20,37.77778,99.9088001
10.333334,20,37.77778,99.9088001
10.333334,20,37.77778,99.9088001
10.333334,20,37.77778,99.9088001
10.333334,20,37.77778,99.9088001
10.333334,20,37.77778,99.9088001
10.333334,20,37.77778,99.9088001
10.333334,20,37.77778,99.9088001
10.333334,20,37.77778,99.9088001
